"date","close","volume","open","high","low"
"2018/12/07","147.4500","5287015.0000","151.8500","153.5200","147.2900"
"2018/12/06","151.6800","5231124.0000","149.4600","151.7500","146.8800"
"2018/12/04","153.0300","4385321.0000","156.3300","157.5900","151.7250"
"2018/12/03","157.1300","5085372.0000","157.0000","159.6300","156.3900"
"2018/11/30","153.7800","6205014.0000","150.2400","154.3700","150.1400"
"2018/11/29","150.4800","2970248.0000","150.8800","151.6800","149.7400"
"2018/11/28","151.9800","4357787.0000","148.7300","152.1350","146.6100"
"2018/11/27","147.3800","4907478.0000","143.1900","147.3800","142.6900"
"2018/11/26","142.7600","4767039.0000","144.0300","144.6600","142.0900"
"2018/11/23","143.5400","1608601.0000","142.5800","144.1200","142.2400"
"2018/11/21","144.1000","4779647.0000","142.1100","144.6150","141.7800"
"2018/11/20","141.5600","7317748.0000","147.5100","147.8236","140.9700"
"2018/11/19","150.6400","3728415.0000","150.3600","151.3800","148.8700"
"2018/11/16","151.4200","3160021.0000","151.8000","152.9400","151.0100"
"2018/11/15","151.4300","3380539.0000","147.9100","152.1350","146.7270"
"2018/11/14","148.5600","4006792.0000","149.7500","151.4900","146.6350"
"2018/11/13","148.5900","2694097.0000","148.4300","150.0700","147.4500"
"2018/11/12","147.7700","3019997.0000","150.5100","151.0000","147.4200"
"2018/11/09","150.2500","3803080.0000","151.5900","151.8200","149.6700"
"2018/11/08","152.3900","2524051.0000","152.8200","153.3000","151.4000"
"2018/11/07","152.8700","5772749.0000","151.0500","152.9300","150.2200"
"2018/11/06","150.1700","4218378.0000","148.5900","150.6400","148.5900"
"2018/11/05","148.5700","4888673.0000","149.3100","149.8000","148.3500"
"2018/11/02","148.5600","5744853.0000","148.3300","149.9800","147.7100"
"2018/11/01","147.1800","3460143.0000","147.1600","147.9500","146.2400"
"2018/10/31","146.2200","4260302.0000","147.3000","148.9600","145.9100"
"2018/10/30","146.2800","4839430.0000","142.0000","146.6100","141.6750"
"2018/10/29","141.3400","4848905.0000","144.6800","144.7100","139.3200"
"2018/10/26","142.7400","5664081.0000","143.0700","144.1600","140.0800"
"2018/10/25","144.1500","9022067.0000","136.5000","145.1500","135.8100"
"2018/10/24","140.4500","7917458.0000","144.7800","146.1700","140.4200"
"2018/10/23","143.9200","6486019.0000","144.6000","144.9400","141.5700"
"2018/10/22","146.8200","6379669.0000","146.7000","147.3800","145.5900"
"2018/10/19","148.7000","5438185.0000","148.3400","149.7300","147.7400"
"2018/10/18","148.5200","7832190.0000","146.7700","150.0800","146.5900"
"2018/10/17","149.8900","6445525.0000","153.9600","154.4400","149.2400"
"2018/10/16","153.1500","6730039.0000","153.2000","153.7100","151.9200"
"2018/10/15","152.1900","4641385.0000","153.0000","154.5300","151.6600"
"2018/10/12","152.6500","5294852.0000","154.0300","155.1800","151.6500"
